TIME(PST),WVHTft,SwHft,SwPsec,SwD,WWHft,WWPsec,WWD,STEEPNESS,APDsec
2025-02-1510:56 am,8.2,6.2,14.3,W,5.2,9.1,W,SWELL,9.4
2025-02-1510:26 am,7.9,5.9,14.3,W,5.2,8.3,W,SWELL,9.2
2025-02-1509:56 am,7.9,5.9,14.3,WNW,5.6,9.9,W,SWELL,9.3
2025-02-1509:26 am,8.2,6.2,15.4,W,5.6,9.9,W,SWELL,9.2
2025-02-1508:56 am,7.9,5.6,15.4,W,5.6,9.9,W,SWELL,9.0
2025-02-1508:26 am,8.9,6.9,13.3,W,5.6,9.9,W,SWELL,9.7
2025-02-1507:56 am,9.2,7.5,14.3,WNW,5.2,9.9,W,SWELL,10.2
2025-02-1507:26 am,9.5,7.5,14.3,WNW,5.6,9.1,W,SWELL,10.0
2025-02-1506:56 am,8.5,6.2,15.4,WNW,5.9,9.1,W,SWELL,9.0
2025-02-1506:26 am,8.5,6.2,14.3,W,5.9,8.3,W,SWELL,9.1
2025-02-1505:56 am,8.2,6.2,14.3,WNW,5.6,7.7,W,SWELL,9.0
2025-02-1505:26 am,8.5,6.2,14.3,W,5.9,9.9,W,SWELL,9.1
2025-02-1504:56 am,8.2,5.9,13.3,W,5.6,9.9,W,SWELL,9.0
2025-02-1504:26 am,8.9,6.6,14.3,W,5.6,8.3,W,SWELL,9.3
2025-02-1503:56 am,9.2,7.2,14.3,WNW,5.6,9.9,W,SWELL,9.6
2025-02-1503:26 am,8.9,6.9,13.3,WNW,5.2,9.1,W,SWELL,9.5
2025-02-1502:56 am,7.9,5.9,15.4,WNW,5.6,9.1,W,SWELL,8.5
2025-02-1502:26 am,9.5,7.5,15.4,W,5.9,9.9,W,SWELL,9.4
2025-02-1501:56 am,10.2,8.2,15.4,W,5.9,7.1,W,SWELL,9.8
2025-02-1501:26 am,9.5,7.5,15.4,W,5.9,9.9,W,SWELL,9.4
2025-02-1512:56 am,9.5,7.2,14.3,WNW,5.9,9.9,W,SWELL,8.9
2025-02-1512:26 am,9.5,7.5,14.3,W,6.2,6.7,W,SWELL,8.8
2025-02-1411:56 pm,9.5,7.5,15.4,WNW,5.9,9.9,WNW,SWELL,9.2
2025-02-1411:26 pm,9.2,7.2,14.3,W,5.6,9.9,W,SWELL,9.1
2025-02-1410:56 pm,10.5,8.5,15.4,WNW,6.2,9.1,W,SWELL,9.4
2025-02-1410:26 pm,9.5,7.5,15.4,WNW,6.2,9.9,WNW,SWELL,8.8
2025-02-1409:56 pm,9.5,7.9,15.4,W,5.9,9.9,WNW,SWELL,8.8
2025-02-1409:26 pm,10.2,8.2,12.5,W,6.2,9.9,W,SWELL,8.8
2025-02-1408:56 pm,10.2,8.2,14.3,W,5.9,9.9,WNW,SWELL,9.3
2025-02-1408:26 pm,9.8,7.9,14.3,WNW,6.2,9.1,W,SWELL,8.8
2025-02-1407:56 pm,10.5,8.9,15.4,W,6.2,9.9,WNW,SWELL,9.4
2025-02-1407:26 pm,9.2,7.2,15.4,WNW,5.9,9.9,WNW,SWELL,8.8
2025-02-1406:56 pm,9.8,7.9,16.7,W,5.9,9.9,W,SWELL,9.2
2025-02-1406:26 pm,10.2,8.2,15.4,WNW,6.2,9.9,WNW,SWELL,9.4
2025-02-1405:56 pm,10.5,8.2,14.3,W,6.2,9.1,W,SWELL,9.5
2025-02-1405:26 pm,10.8,9.5,13.3,W,5.9,9.9,W,SWELL,10.2
2025-02-1404:56 pm,10.2,8.5,15.4,WNW,5.9,9.9,W,SWELL,9.9
2025-02-1404:26 pm,10.5,8.9,14.3,W,5.9,9.9,W,SWELL,10.2
2025-02-1403:56 pm,10.8,9.2,15.4,WNW,5.9,9.9,W,SWELL,10.2
2025-02-1403:26 pm,10.5,9.2,16.7,W,5.9,9.9,W,SWELL,10.5
2025-02-1402:56 pm,10.5,8.9,15.4,W,5.6,9.9,W,SWELL,10.4
2025-02-1402:26 pm,10.5,8.9,13.3,WNW,5.2,8.3,W,SWELL,10.4
2025-02-1401:56 pm,9.5,8.2,14.3,WNW,4.6,9.1,W,SWELL,10.4
2025-02-1401:26 pm,8.2,6.6,15.4,WNW,4.9,9.9,W,SWELL,9.4
2025-02-1412:56 pm,7.5,5.9,15.4,WNW,4.9,9.1,W,SWELL,9.1
2025-02-1412:26 pm,6.6,4.9,15.4,WNW,4.6,9.9,W,SWELL,8.9
2025-02-1411:56 am,6.2,3.9,16.7,W,4.6,9.9,W,AVERAGE,7.8
