TIME(PST),WVHTft,SwHft,SwPsec,SwD,WWHft,WWPsec,WWD,STEEPNESS,APDsec
2025-02-1510:40 am,5.9,5.9,13.8,W,1.3,3.8,W,SWELL,7.4
2025-02-1510:10 am,5.6,5.6,14.8,WNW,1.3,3.7,W,SWELL,7.1
2025-02-1509:40 am,5.6,5.2,16.0,WNW,1.3,3.8,W,SWELL,6.7
2025-02-1509:10 am,5.6,5.6,9.1,W,1.3,3.8,W,AVERAGE,7.0
2025-02-1508:40 am,5.9,5.9,14.8,W,1.3,3.6,W,SWELL,7.2
2025-02-1508:10 am,6.2,5.9,12.9,W,1.3,4.0,W,SWELL,7.0
2025-02-1507:40 am,6.9,6.9,9.1,WSW,1.3,3.6,WNW,AVERAGE,7.4
2025-02-1507:10 am,7.2,6.9,13.8,W,1.3,3.7,W,SWELL,7.5
2025-02-1506:40 am,6.9,6.9,13.8,W,1.6,4.3,WSW,SWELL,7.5
2025-02-1506:10 am,6.9,6.9,11.4,W,1.6,3.3,WNW,SWELL,7.6
2025-02-1505:40 am,6.6,6.6,14.8,W,1.3,3.4,WNW,SWELL,7.5
2025-02-1505:10 am,7.9,7.5,14.8,WNW,1.6,4.2,W,SWELL,8.3
2025-02-1504:40 am,7.5,7.2,14.8,W,1.6,4.5,WSW,SWELL,8.5
2025-02-1504:10 am,7.2,6.9,14.8,W,1.6,4.2,W,SWELL,7.7
2025-02-1503:40 am,6.6,6.2,13.8,W,2.3,4.2,W,SWELL,7.5
2025-02-1503:10 am,7.5,7.2,14.8,W,1.6,4.8,WSW,SWELL,7.8
2025-02-1502:40 am,7.2,6.9,13.8,WSW,1.6,4.0,WNW,SWELL,7.6
2025-02-1502:10 am,8.2,7.5,14.8,W,3.0,5.9,WSW,SWELL,8.1
2025-02-1501:40 am,7.9,7.2,14.8,NW,2.3,4.2,W,SWELL,7.5
2025-02-1501:10 am,7.9,7.5,14.8,W,2.6,5.0,W,SWELL,7.6
2025-02-1512:40 am,8.5,8.2,14.8,WNW,2.6,3.7,W,SWELL,7.6
2025-02-1512:10 am,8.2,7.2,14.8,NNW,3.6,5.6,W,SWELL,7.1
2025-02-1411:40 pm,8.5,7.5,14.8,W,4.3,5.6,WNW,SWELL,7.2
2025-02-1411:10 pm,8.5,6.2,14.8,W,6.2,6.7,WSW,SWELL,6.8
2025-02-1410:40 pm,9.2,7.2,14.8,NW,5.6,6.7,WSW,SWELL,7.0
2025-02-1410:10 pm,8.5,5.6,12.9,WSW,6.6,7.7,WSW,AVERAGE,6.6
2025-02-1409:40 pm,8.9,5.2,14.8,SW,7.2,5.9,WNW,AVERAGE,6.5
2025-02-1409:10 pm,8.9,5.9,14.8,W,6.2,6.2,WNW,AVERAGE,6.6
2025-02-1408:40 pm,8.5,5.2,14.8,W,6.6,6.2,W,AVERAGE,6.3
2025-02-1408:10 pm,8.9,5.2,14.8,NNW,6.9,7.1,W,AVERAGE,6.2
2025-02-1407:40 pm,8.9,5.9,14.8,W,6.2,6.7,WSW,AVERAGE,6.3
2025-02-1407:10 pm,8.5,6.9,14.8,W,5.2,5.9,W,SWELL,6.4
2025-02-1406:40 pm,8.2,5.2,14.8,W,6.2,7.7,W,AVERAGE,6.1
2025-02-1406:10 pm,8.2,5.6,14.8,W,6.2,5.9,W,AVERAGE,6.3
2025-02-1405:40 pm,8.9,6.6,14.8,W,5.9,5.9,WSW,SWELL,6.5
2025-02-1405:10 pm,8.2,5.2,14.8,WNW,6.2,5.6,W,AVERAGE,6.0
2025-02-1404:40 pm,7.9,5.2,10.8,W,5.6,5.9,W,AVERAGE,5.9
2025-02-1404:10 pm,7.5,5.2,14.8,W,5.2,7.7,WSW,SWELL,6.0
2025-02-1403:40 pm,7.5,5.9,13.8,W,4.6,4.8,W,SWELL,6.3
2025-02-1403:10 pm,7.5,6.2,12.9,W,4.6,4.8,W,SWELL,6.4
2025-02-1402:40 pm,7.5,6.2,13.8,W,4.6,4.5,W,SWELL,6.3
2025-02-1402:10 pm,8.2,6.9,16.0,WSW,4.3,4.3,W,SWELL,7.1
2025-02-1401:40 pm,8.2,7.2,14.8,WSW,3.9,4.3,W,SWELL,7.0
2025-02-1401:10 pm,8.5,7.5,16.0,WSW,3.9,4.0,W,SWELL,7.4
2025-02-1412:40 pm,8.2,7.5,14.8,W,3.6,6.2,WSW,SWELL,7.4
2025-02-1412:10 pm,8.2,7.2,13.8,W,3.9,4.0,WSW,SWELL,7.6
